,score,is_test,truth
803,0.00025364102,0,0
1940,0.00025690746,0,0
1977,0.00025782225,1,0
227,0.000258685,0,0
1888,0.0002600714,0,0
1162,0.00026152175,0,0
726,0.00026159978,0,0
2972,0.00026246646,1,0
365,0.0002657611,0,0
1344,0.0002664832,0,0
1080,0.0002690181,0,0
3755,0.0002691192,1,0
1829,0.00027806437,0,0
817,0.00028036596,0,0
2446,0.00028173416,1,0
957,0.0002818561,0,0
366,0.0002869892,0,0
1554,0.0002874923,0,0
540,0.00028901204,0,0
398,0.00029048082,0,0
2598,0.00029393812,1,0
1215,0.0002942645,0,0
1377,0.000294653,0,0
2161,0.0002987515,1,0
1123,0.00030082968,0,0
630,0.00030196007,0,0
490,0.00030394178,0,0
1648,0.00030438136,0,0
237,0.00030495707,0,0
554,0.00030715775,0,0
1469,0.000307675,0,0
402,0.0003090456,0,0
194,0.00030934182,0,0
1638,0.0003178989,0,0
2346,0.00031841273,1,0
627,0.00031902624,0,0
1875,0.0003198726,0,0
532,0.00032005744,0,0
3529,0.00032382557,1,0
1886,0.00032705945,0,0
1053,0.00032799618,0,0
1962,0.00033032274,1,0
1094,0.000331069,0,0
1865,0.00033118168,0,0
458,0.0003319973,0,0
668,0.0003325136,0,0
1524,0.000332754,0,0
2990,0.00033345105,1,0
282,0.0003335238,0,0
1441,0.00033542,0,0
1711,0.00033553288,0,0
897,0.00033717454,0,0
105,0.0003374842,0,0
1501,0.00033820554,0,0
1187,0.0003383776,0,0
1730,0.00033908078,0,0
1697,0.00034018277,0,0
368,0.0003406842,0,0
1488,0.00034116994,0,0
2029,0.00034238645,1,0
1757,0.00034359537,0,0
3723,0.00034360142,1,0
815,0.00034387404,0,0
2587,0.00034416807,1,0
1176,0.0003443302,0,0
121,0.0003449946,0,0
2198,0.0003458338,1,0
1182,0.00034640316,0,0
3762,0.00034690337,1,0
3371,0.00034836773,1,0
1725,0.00034896805,0,0
2174,0.0003509302,1,0
1912,0.0003510649,0,0
607,0.00035269538,0,0
2330,0.00035327216,1,0
1916,0.0003563871,0,0
171,0.0003564002,0,0
665,0.00035651354,0,0
352,0.0003565921,0,0
1477,0.00035660784,0,0
260,0.00035756736,0,0
695,0.00035852546,0,0
2941,0.00035955082,1,0
162,0.00036111087,0,0
184,0.00036236388,0,0
456,0.0003627358,0,0
246,0.0003649406,0,0
1974,0.0003661498,1,0
221,0.0003662441,0,0
2909,0.00036706324,1,0
2414,0.0003676528,1,0
2520,0.00036821348,1,0
974,0.00036921934,0,0
1880,0.00037055856,0,0
640,0.0003715542,0,0
1361,0.00037225988,0,0
25,0.00037264408,0,0
1499,0.0003734122,0,0
753,0.0003758468,0,0
1720,0.00037883106,0,0
2744,0.00037899055,1,0
2600,0.0003791096,1,0
3414,0.0003807783,1,1
1973,0.00038101614,1,0
99,0.00038132592,0,0
130,0.00038152497,0,0
3825,0.00038199552,1,0
2795,0.00038303374,1,0
1663,0.00038337236,0,0
1208,0.00038341,0,0
1691,0.00038382728,0,0
1284,0.00038391547,0,0
