,score,is_test,truth
1016,1.6971486e-08,0,0
1901,2.3817279e-08,0,0
617,2.9959438e-08,0,0
2707,3.113245e-08,1,0
297,4.1904322e-08,0,0
620,4.205854e-08,0,0
1437,4.5208633e-08,0,0
497,6.515968e-08,0,0
2636,6.6077064e-08,1,0
1828,7.629338e-08,0,0
3681,8.27781e-08,1,0
2839,1.0526509e-07,1,0
1907,1.1682136e-07,0,0
1431,1.2011428e-07,0,0
3581,1.804899e-07,1,0
1831,1.8133825e-07,0,0
1448,1.8185399e-07,0,0
515,1.8317334e-07,0,0
89,1.9192265e-07,0,0
1201,2.0934878e-07,0,0
748,2.1152967e-07,0,0
1257,2.2596811e-07,0,0
204,2.454714e-07,0,0
1238,2.5146545e-07,0,0
999,2.623349e-07,0,0
1534,2.6570964e-07,0,0
1333,2.827709e-07,0,0
467,2.9249924e-07,0,0
893,2.9761617e-07,0,0
1130,3.6787887e-07,0,0
2163,3.692377e-07,1,0
66,3.9065387e-07,0,0
1090,3.928102e-07,0,0
1989,3.9591973e-07,0,0
852,4.072654e-07,0,0
768,4.089994e-07,0,0
130,4.2542143e-07,0,0
2087,4.9153886e-07,1,0
543,5.394483e-07,0,0
3259,5.9355955e-07,1,0
1667,6.0505295e-07,0,0
1924,6.366968e-07,0,0
1151,6.784379e-07,0,0
182,7.008315e-07,0,0
862,7.0083286e-07,0,0
1749,7.0171563e-07,0,0
2591,7.179797e-07,1,0
1230,7.182878e-07,0,0
3515,7.3231723e-07,1,0
3233,7.536111e-07,1,0
781,7.6439034e-07,0,0
322,7.7464745e-07,0,0
1538,8.033386e-07,0,0
2103,8.1467374e-07,1,0
668,8.469837e-07,0,0
563,8.588191e-07,0,0
714,8.5989103e-07,0,0
1894,9.0649525e-07,0,0
1717,9.095096e-07,0,0
1897,9.188941e-07,0,0
1816,9.2478336e-07,0,0
445,9.430051e-07,0,0
1098,9.4854676e-07,0,0
335,9.782715e-07,0,0
2409,9.864897e-07,1,0
2885,1.001313e-06,1,0
3335,1.0111007e-06,1,0
1053,1.0338065e-06,0,0
1957,1.0631509e-06,0,0
478,1.0642932e-06,0,0
3797,1.0808255e-06,1,0
170,1.091069e-06,0,0
2359,1.0943578e-06,1,0
1270,1.104974e-06,0,0
1811,1.1054799e-06,0,0
1818,1.10879e-06,0,0
1271,1.120921e-06,0,0
920,1.1370255e-06,0,0
960,1.165211e-06,0,0
235,1.1916845e-06,0,0
2487,1.1920381e-06,1,0
1220,1.1998804e-06,0,0
1525,1.2503822e-06,0,0
912,1.2504347e-06,0,0
757,1.284637e-06,0,0
2173,1.3101168e-06,1,0
1456,1.3147428e-06,0,0
312,1.3185575e-06,0,0
452,1.4007045e-06,0,0
1401,1.4057617e-06,0,0
280,1.433261e-06,0,0
484,1.4477653e-06,0,0
3001,1.4488979e-06,1,0
3539,1.4504712e-06,1,0
1975,1.4531531e-06,0,0
103,1.4642221e-06,0,0
211,1.4683221e-06,0,0
587,1.4742994e-06,0,0
3094,1.4784586e-06,1,0
3078,1.5142713e-06,1,0
544,1.5358178e-06,0,0
2984,1.5557454e-06,1,0
595,1.5622486e-06,0,0
1012,1.5631338e-06,0,0
555,1.5818626e-06,0,0
1128,1.6039364e-06,0,0
873,1.6139036e-06,0,0
1763,1.6603266e-06,0,0
2723,1.6817221e-06,1,0
1033,1.7229828e-06,0,0
831,1.7503324e-06,0,0
971,1.7567039e-06,0,0
3896,1.7672497e-06,1,0
1370,1.7852088e-06,0,0
1195,1.7986083e-06,0,0
692,1.8064504e-06,0,0
537,1.8635372e-06,0,0
3473,1.8824118e-06,1,0
3320,1.8865526e-06,1,0
2194,1.9266458e-06,1,0
313,1.9980196e-06,0,0
1723,2.042719e-06,0,0
499,2.0463808e-06,0,0
1835,2.073902e-06,0,0
1422,2.1175383e-06,0,0
2450,2.177779e-06,1,0
938,2.2075808e-06,0,0
1573,2.2083177e-06,0,0
2463,2.2281693e-06,1,0
299,2.2528482e-06,0,0
802,2.2748304e-06,0,0
3632,2.2792126e-06,1,0
1208,2.3026553e-06,0,0
1191,2.3266984e-06,0,0
2284,2.3709101e-06,1,0
1789,2.3726698e-06,0,0
3046,2.4101766e-06,1,0
493,2.4126512e-06,0,0
2239,2.4372964e-06,1,0
786,2.4614328e-06,0,0
218,2.4696485e-06,0,0
