,score,is_test,truth
423,-12.922096962233287,0,0
2509,-12.919410566096442,1,0
488,-12.88963106090351,0,0
1710,-12.83374895917244,0,0
1402,-12.73538567476507,0,0
2681,-12.713958032454569,1,0
895,-12.628603111485084,0,0
254,-12.620124695153127,0,0
604,-12.618481726418729,0,0
182,-12.608381429696237,0,0
404,-12.594134783162076,0,0
1433,-12.578142918679253,0,0
797,-12.546804823348321,0,0
2371,-12.516103834079802,1,0
3622,-12.493155421728588,1,0
310,-12.474405293004807,0,0
1144,-12.410404240905358,0,0
1427,-12.402174630338521,0,0
1459,-12.38427191221208,0,0
192,-12.360517614021216,0,0
160,-12.317487926738757,0,0
643,-12.31309609909463,0,0
2612,-12.311936586614241,1,0
214,-12.292706638653371,0,0
1988,-12.290120682083774,0,0
1296,-12.26551525436576,0,0
128,-12.249127632373892,0,0
3078,-12.210298499974567,1,0
3381,-12.204715807423973,1,0
2938,-12.192718990163094,1,0
564,-12.182531412687318,0,0
1715,-12.179843221972266,0,0
830,-12.16906852979782,0,0
1311,-12.16808242344298,0,0
1546,-12.167893180438341,0,0
3428,-12.156222892786175,1,0
563,-12.150219724974969,0,0
1348,-12.150139322702632,0,0
1989,-12.141704734121728,0,0
1700,-12.137269815060495,0,0
380,-12.136486349515001,0,0
25,-12.111185210200528,0,0
1923,-12.10318574651561,0,0
2874,-12.09630353072711,1,0
3540,-12.075300642265825,1,0
2540,-12.066130318150286,1,0
107,-12.057930138639966,0,0
3100,-12.053490302452802,1,0
3267,-12.040488241892715,1,0
1203,-12.038559289515327,0,0
2337,-12.038509755215387,1,0
2213,-12.036023130385642,1,0
2856,-12.020644397566773,1,0
771,-11.984111526532669,0,0
307,-11.98300807452808,0,0
233,-11.97716625943299,0,0
2677,-11.925901493955525,1,0
1204,-11.923206482121975,0,0
789,-11.922331347187257,0,0
2975,-11.90869110799534,1,0
620,-11.908170485680092,0,0
2073,-11.907563982432599,1,0
575,-11.901002142401023,0,0
3019,-11.897966063687086,1,0
343,-11.849464540498142,0,0
1757,-11.845702989772683,0,0
1673,-11.807803888831096,0,0
3548,-11.792114944156182,1,0
812,-11.785329136947633,0,0
964,-11.734935031541912,0,0
999,-11.690755615582649,0,0
1047,-11.661290297840575,0,0
3920,-11.575993003149627,1,0
1501,-11.547162578382872,0,0
704,-11.533973236890901,0,0
1954,-11.485345118872484,0,0
2582,-11.477278350050721,1,0
430,-11.476612336700365,0,0
1848,-11.475757942214443,0,0
956,-11.457632219837349,0,0
890,-11.435111255363854,0,0
1569,-11.428541126147175,0,0
3354,-11.426201076255747,1,0
1109,-11.42274263537045,0,0
1242,-11.410813522306633,0,0
558,-11.39955662015321,0,0
711,-11.393296793844367,0,0
1906,-11.382615924030159,0,0
3511,-11.3806449542923,1,0
227,-11.375581968950709,0,0
97,-11.370074561480418,0,0
3440,-11.356146741748812,1,0
1611,-11.352381838858363,0,0
1784,-11.337003258604065,0,0
1955,-11.334623060311502,0,0
2121,-11.325588674827449,1,0
759,-11.312635429905075,0,0
2966,-11.310049303677314,1,0
804,-11.25648410624922,0,0
1798,-11.252631269803206,0,0
2324,-11.250540645311212,1,0
2620,-11.250439789355239,1,0
2909,-11.239252417637331,1,0
332,-11.225845288542585,0,0
1800,-11.21136447956407,0,0
2757,-11.20023776866787,1,0
2465,-11.199551816447642,1,0
550,-11.176777585944738,0,0
1467,-11.168499233705884,0,0
2654,-11.166266766007581,1,0
1002,-11.161604314851754,0,0
3112,-11.142019186686102,1,0
1481,-11.141560154446612,0,0
3556,-11.127075866234872,1,0
1612,-11.125348103948541,0,0
2642,-11.107386275665013,1,0
1935,-11.10231597162851,0,0
411,-11.087005885107335,0,0
3169,-11.07783472032522,1,0
3154,-11.076348681152655,1,0
459,-11.051106270975726,0,0
1662,-11.03925990173732,0,0
2042,-11.019175844748439,1,0
2414,-11.017159668958497,1,0
85,-11.007084887286815,0,0
3084,-11.003761429435063,1,0
1104,-10.992980928032967,0,0
45,-10.991912773140811,0,0
130,-10.990864167450795,0,0
2891,-10.990806752737013,1,0
1565,-10.988037199166577,0,0
3931,-10.985075943323881,1,0
3566,-10.982134418977035,1,0
2813,-10.974276283656025,1,0
3116,-10.970406410801719,1,0
596,-10.96007262559407,0,0
1737,-10.955958300222235,0,0
102,-10.951755231122473,0,0
3569,-10.949037634987679,1,0
978,-10.948708414028905,0,0
110,-10.948489746129777,0,0
356,-10.936679444994612,0,0
127,-10.929535849838357,0,0
417,-10.928348683907833,0,0
621,-10.915085117843986,0,0
1525,-10.914898359703672,0,0
1148,-10.913151905963906,0,0
345,-10.908685084120362,0,0
2050,-10.904784978207138,1,0
2953,-10.902127071908758,1,0
1541,-10.897692758148935,0,0
2787,-10.89111476925963,1,0
29,-10.884597123467943,0,0
686,-10.88075170642544,0,0
521,-10.872168320934636,0,0
491,-10.866711562174258,0,0
3697,-10.863534784286022,1,0
1504,-10.854903113179132,0,0
2733,-10.853432147753164,1,0
2203,-10.83641477684941,1,0
3760,-10.833678582093722,1,0
2130,-10.824504022479077,1,0
1991,-10.818078132238984,1,0
1441,-10.814579296403897,0,0
1473,-10.80332513041111,0,0
1324,-10.788985613675212,0,0
2172,-10.783535520147701,1,0
1748,-10.782930701552258,0,0
1835,-10.777805872218646,0,0
1221,-10.775048303178586,0,0
359,-10.774482967092851,0,0
3945,-10.770449348365588,1,0
629,-10.770436446199316,0,0
2925,-10.769211078708045,1,0
1808,-10.768182402148472,0,0
1414,-10.75901461470564,0,0
1265,-10.758080890735496,0,0
1783,-10.757746801789441,0,0
1946,-10.74804716070491,0,0
827,-10.742255229875232,0,0
292,-10.740645051801776,0,0
1597,-10.739632146828466,0,0
3465,-10.731042103464944,1,0
1003,-10.70677800881994,0,0
378,-10.702943608428836,0,0
1801,-10.698418569603293,0,0
257,-10.693002456287658,0,0
2472,-10.684950116384805,1,0
188,-10.679898143570503,0,0
210,-10.677294983648244,0,0
1434,-10.67679734333158,0,0
3447,-10.67619509047681,1,0
2775,-10.666578566809129,1,0
61,-10.663433301403167,0,0
1764,-10.657149451476135,0,0
2229,-10.652799173636712,1,0
407,-10.629480026968173,0,0
2430,-10.627995616412493,1,0
885,-10.603438710721964,0,0
1267,-10.603418920436273,0,0
1004,-10.60145094315309,0,0
3871,-10.598944509271274,1,0
1635,-10.594879222094715,0,0
1978,-10.594031170429242,0,0
1869,-10.579783994346716,0,0
1369,-10.578020419469386,0,0
1359,-10.576604311511332,0,0
1052,-10.559581837890196,0,0
3247,-10.553016997936272,1,0
1932,-10.549870124550768,0,0
165,-10.541022601236806,0,0
763,-10.52086631653479,0,0
1028,-10.508174500474698,0,0
2342,-10.500707199574077,1,0
3800,-10.498234961811654,1,0
982,-10.494060286862931,0,0
1747,-10.441073579545222,0,0
3142,-10.423989727884754,1,0
354,-10.422428214974529,0,0
112,-10.41146507129384,0,0
246,-10.406213174301566,0,0
249,-10.40062318618482,0,0
3678,-10.395990951646578,1,0
3737,-10.395670403349904,1,0
2888,-10.365353607317562,1,0
760,-10.358171116877939,0,0
412,-10.35742237320086,0,0
1904,-10.335846552573553,0,0
1069,-10.322960254822913,0,0
1607,-10.321729693353648,0,0
432,-10.297955319041652,0,0
1154,-10.288275390569522,0,0
3489,-10.279101408839239,1,0
1192,-10.278764497817441,0,0
70,-10.268765459066534,0,0
1722,-10.251473481130962,0,0
1138,-10.241644968350078,0,0
64,-10.230177059763697,0,0
509,-10.221010744160981,0,0
408,-10.21019623517439,0,0
3701,-10.202017401363797,1,0
482,-10.201020853299186,0,0
30,-10.18950627276784,0,0
1384,-10.174584481675149,0,0
308,-10.174495985380275,0,0
179,-10.168527405848188,0,0
2647,-10.155012534322868,1,0
784,-10.152847919197262,0,0
1958,-10.149974654025234,0,0
1667,-10.148705639567883,0,0
228,-10.14047459915976,0,0
2219,-10.108517385183017,1,0
3849,-10.079185767264804,1,0
24,-10.078503841076818,0,0
37,-10.078364397290018,0,0
3746,-10.077822762041807,1,0
1152,-10.074919306681275,0,0
532,-10.07462491662597,0,0
1550,-10.071732912584869,0,0
516,-10.05880509156433,0,0
560,-10.047082798812163,0,0
1262,-10.035787472530338,0,0
1708,-10.029257098978897,0,0
1364,-10.021288983375968,0,0
2930,-10.02116978139794,1,0
1321,-10.016737369482932,0,0
1600,-10.013308176424726,0,0
1893,-9.998227973839889,0,0
2423,-9.9909443502725,1,0
1982,-9.98628748290488,0,0
1584,-9.985598843032264,0,0
139,-9.983091525427906,0,0
134,-9.971013986889158,0,0
2037,-9.950552904310003,1,0
1706,-9.947152601747803,0,0
847,-9.921165701829844,0,0
533,-9.906780718328958,0,0
463,-9.903746566496697,0,0
476,-9.900986766222731,0,0
256,-9.874627680002952,0,0
1622,-9.872014667885095,0,0
3739,-9.860462322034886,1,0
2897,-9.856217255327222,1,0
21,-9.855038230986475,0,0
957,-9.846231332226356,0,0
1392,-9.819478178476642,0,0
2786,-9.811543853524084,1,1
2017,-9.790517035390305,1,0
2861,-9.789597369462637,1,0
3495,-9.784728137777535,1,0
2166,-9.783739771842134,1,0
3184,-9.775895406360185,1,0
1812,-9.767061638617575,0,0
1699,-9.756898350156332,0,0
1859,-9.754471605283376,0,0
1766,-9.753264757780101,0,0
3229,-9.750440589547734,1,0
900,-9.741486607762694,0,0
46,-9.740132924604781,0,0
1382,-9.73671750172683,0,0
926,-9.733337787004206,0,0
3451,-9.721799651188348,1,0
2095,-9.713781013365272,1,0
959,-9.713670034587121,0,0
1401,-9.713246267780782,0,0
1523,-9.713241267000896,0,0
418,-9.710756870653055,0,0
1585,-9.708772526350959,0,0
1174,-9.703137062858657,0,0
3705,-9.700534501462675,1,0
2958,-9.695197097123767,1,0
3155,-9.687812706686046,1,0
1996,-9.685287484600824,1,0
3702,-9.679341273751238,1,0
1122,-9.654994073161376,0,0
1690,-9.654652957799039,0,0
1888,-9.652861484269744,0,0
1674,-9.649011750388382,0,0
2084,-9.645838640739909,1,0
753,-9.644175699367995,0,0
1971,-9.643722837634433,0,0
3134,-9.635470644693065,1,0
413,-9.633263355559832,0,0
3193,-9.632345631417106,1,0
991,-9.621282256398127,0,0
3873,-9.613412651995931,1,0
1087,-9.613345623417217,0,0
1020,-9.610031962868351,0,0
3145,-9.601617869882205,1,0
1114,-9.585970172163382,0,0
1133,-9.576423459018478,0,0
2619,-9.574367110460006,1,0
1627,-9.571640004410938,0,0
1395,-9.566078279786039,0,0
615,-9.556550043857094,0,0
1828,-9.555177494215194,0,0
3604,-9.546202249074511,1,0
106,-9.544201919572668,0,0
2807,-9.541908223043794,1,0
579,-9.540882751210377,0,0
2331,-9.537403674511578,1,0
1176,-9.534430062801942,0,0
3811,-9.534000940009943,1,0
3385,-9.528087402713618,1,0
1393,-9.511320366649068,0,0
3640,-9.507912899002621,1,0
1309,-9.497387251253347,0,0
636,-9.49442274997769,0,0
1282,-9.491159701412965,0,0
2521,-9.490227733573962,1,0
3009,-9.487863197149073,1,0
2854,-9.476552546021095,1,0
3961,-9.45677721680114,1,0
2608,-9.4556071720238,1,0
2834,-9.448644346162762,1,1
679,-9.42070469808839,0,0
1107,-9.410626998816959,0,0
601,-9.398340542311974,0,0
967,-9.385403156052575,0,0
283,-9.384756664882586,0,0
1061,-9.375795646170204,0,0
3531,-9.375188697063544,1,0
2398,-9.370993998887624,1,0
3903,-9.370098605923836,1,0
1610,-9.360731435150528,0,0
339,-9.3503521501658,0,0
1870,-9.35003549143426,0,0
367,-9.316334478055568,0,0
995,-9.315246236276536,0,0
3063,-9.298981200021053,1,0
126,-9.298713295673352,0,0
545,-9.288579144701124,0,0
335,-9.285003342298618,0,0
1883,-9.271169246566217,0,0
794,-9.266550209611326,0,0
62,-9.253857905299682,0,0
1072,-9.23274000875153,0,0
1128,-9.23225945534955,0,0
1930,-9.186879591912344,0,0
1548,-9.185723351134442,0,0
1646,-9.185051595039347,0,0
